Genre,Movie-Title
Action,Rebel Moon - Part One: A Child of Fire (2023)
Action,Aquaman and the Lost Kingdom (2023)
Action,Animal (I) (2023)
Action,The Hunger Games: The Ballad of Songbirds & Snakes (2023)
Action,Die Hard (1988)
Action,Salaar (2023)
Action,The Family Plan (2023)
Action,Godzilla Minus One (2023)
Action,Indiana Jones and the Dial of Destiny (2023)
Action,The Creator (2023)
Action,Migration (I) (2023)
Action,Violent Night (2022)
Action,Silent Night (2023)
Action,Top Gun: Maverick (2022)
Action,Napoleon (2023)
Action,Rebel Moon: Part Two - The Scargiver (2024)
Action,Gran Turismo (2023)
Action,Spider-Man: Across the Spider-Verse (2023)
Action,The Hunger Games (2012)
Action,The Killer (2023)
Adventure,Wonka (2023)
Adventure,Barbie (I) (2023)
Adventure,Elf (2003)
Adventure,Home Alone 2: Lost in New York (1992)
Adventure,Chicken Run: Dawn of the Nugget (2023)
Adventure,The Polar Express (2004)
Adventure,The Boy and the Heron (2023)
Adventure,The Super Mario Bros. Movie (2023)
Adventure,Trolls Band Together (2023)
Adventure,Klaus (2019)
Animation,The Grinch (2018)
Animation,Wish (II) (2023)
Animation,Leo (I) (2023)
Animation,A Christmas Carol (2009)
Animation,The Lion King (2019)
Animation,Chicken Run (2000)
Animation,Sing 2 (2021)
Animation,The Nightmare Before Christmas (1993)
Animation,Elemental (2023)
Animation,Sing (2016)
Animation,Kung Fu Panda 4 (2024)
Animation,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023)
Comedy,Saltburn (2023)
Comedy,Anyone But You (2023)
Comedy,Poor Things (2023)
Comedy,Love Actually (2003)
Comedy,Home Alone (1990)
Comedy,Dunki (2023)
Comedy,National Lampoon's Christmas Vacation (1989)
Comedy,A Christmas Story (1983)
Comedy,How the Grinch Stole Christmas (2000)
Comedy,The Holdovers (2023)
Comedy,White Christmas (1954)
Comedy,Dream Scenario (2023)
Comedy,Candy Cane Lane (I) (2023)
Comedy,May December (2023)
Crime,Killers of the Flower Moon (2023)
Crime,Sound of Freedom (2023)
Crime,Anatomy of a Fall (2023)
Crime,A Haunting in Venice (2023)
Crime,The Batman (2022)
Crime,Love Lies Bleeding (2024)
Crime,Finestkind (2023)
Crime,Home Alone 3 (1997)
Crime,The Godfather (1972)
Crime,John Wick: Chapter 4 (2023)
Crime,Bad Santa (2003)
Crime,Joker: Folie à Deux (2024)
Crime,The Wolf of Wall Street (2013)
Crime,Promising Young Woman (2020)
