Movie Title,Review-Title,Review-Description
Rebel Moon - Part One: A Child of Fire (2023),Not sorry I watched it,"Is it a story that has been told before? Yes. Were parts exceedingly slow? Yes. I was able to fast forward without losing the storyline as the storyline is pretty predictable? It's a movie about people fighting for their freedom. Yes. I agree with most that have said there was little to no character development. There is little that really bonds our hero's together, other than hey I am building this team. In part two, I hope that slow-mo is not used for the action sequences as much as this one. Visually the movie is pretty as was the epic music for the scoring. Acting is well done as I enjoy the work of most of the actors. I found it slightly hilarious that both characters that played Daario in GOT were in this movie. I am guessing from hints of this movie what part two is going to reveal. I will watch part two because I want to know if I am correct or not."
Rebel Moon - Part One: A Child of Fire (2023),Not unwatchable... but neither is it good,"I SHOULD have loved this movie, I am an avid Sci-Fi fan and love watching properties from Starwars, Star Trek, Star Gate, Dune, Serenity, etc. And their spin-offs. This movie clearly wants to be those... but it is just a disjointed mess. Zero character development - Characters are just thrown at you without any reasoning or explanation. We have no idea who anyone is, why they do what they do, etc. We are just expected to accept that these people exist and are willing to join together in the fight. It literally is ""let's go get this guy"" then they after a couple minutes of ""look how cool this person is"" we are expected to just accept them into the story. Slipshod world building - As with the character development, the ""world"" where this occurs just unfolds in a way that is confusing. Things are just thrown at you and you have to accept them. In the end, it was ""this group is BAD"" and ""this group is GOOD"", without any nuance or background. Cliche'd imagery - Half way through, we started playing the game, ""where did they steal that from."" the whole movie is a mashup of scenes and concepts taken from other Sci-Fi and Fantasy movies. We'd shout out, ""that's from Harry Potter!"" and ""they took that from Firefly!"" pretty much every since scene in the entire movie. Pointless story - The whole story just is a strung together set of scenes that don't seem to have a point. The final climax was unsatisfying, made worse because the poor character and world development meant we didn't really care who lived or died. Then, the whole thing ended with a huge cliche. The movie was billed as ""an adult Starwars,"" instead, it feels more like fan fiction. We didn't turn it off, it was just (barely) entertaining enough to keep watching. And, I will likely watch the second movie. But, this was just one long missed opportunity."
Rebel Moon - Part One: A Child of Fire (2023),"Great VFX, but worn out story and lazy writing","This is visually an impressive movie, and it's certainly entertaining; but there's something really amiss with the story, in fact with the whole writing; as well as with the casting and acting, and with the cinematography of some of the fighting sequences. To begin on the positive side: the VFX are topnotch, from alien creatures to galactic worlds to epic spaceship-battles: it's all awesomely done and totally convincing. The score is great, and some of the actors are a real treat for the eye, be it Sofia Boutella as main character Kora, she's absolutely beautiful and has an almost regal charisma (fitting her role), or some of the impressively built male characters (like Dijon Hounsou and Stan Nair). But then my reservations. The story feels like we've seen it a dozen times before in this kind of epic galactic scifi movies: yet another universe with a dictatorial repressive central regime; myriads of downtrodden and exploited common people; and from the latter the rise of a resistance under the banner of some heroic messiah-like leader. It's Starwars, Dune and Foundation (and a whole lot of others) all put in a blender. The writing felt lazy: by using a voice-over at the start of the movie I had within 5 minutes the impression that I had missed a prequel or an episode 0, pulling me into an already fast riding train. The search for the right resistance team-members felt rushed, skipping from one weird world to the next, giving the various characters hardly any depth or even motivation for their willingness to come along. The result is a succession of short anecdotical scenes without real substance. As to the acting: Sofia Boutella constantly has to keep up an almost frozen attitude, so there's hardly any room for her to shine; and Michiel Huisman sure has more potential than this role of a non-descript hanger-on. Ed Skrein does a good job as the (almost caricaturally) sadistic Atticus, but the rest of the cast is just adequate. And another annoying thing: the potentially interesting fighting scenes are all afflicted by a weird whim of the director, to vary within one scene from regular motion to slow, to slower than slow, and to regular motion again. Who do you think to please with such mannerisms?! Anyway, maybe (as with the disappointing first episode of the new ""Dune"") this Part One mainly acts as an overture to the Real Thing in the expected Part Two. We'll wait and see, but for now I have my doubts."
Rebel Moon - Part One: A Child of Fire (2023),Ignore all the low ratings and immerse yourself in this journey,"My title says it all, sincerely . Zack is brilliant. Watcher is amazing and a masterpiece. And so is Rebel Moon. Low rating doesnt do this movie justice and rather uneducated or void of certain standard of appreciation I love the flow , its character development & characters screen time has its respective special scene moment is well used & well deserved . Action scene is not over exaggerated to a comical level but rather entertainingly dramatic enough . There's lots i could say about this movie so just go and enjoy it . Maybe should just go back to watching cartoons. Just Another Zack masterpiece."
Rebel Moon - Part One: A Child of Fire (2023),As bad as the press says.. and then some!,"I wanted to check, it really is an appallingly bad movie. Am I alone in seeing how this was written, designed and even story boarded with extensive use of AI? Every aspect of this movie is made up from a large amount of meaningless content without any connective tissue whatsoever. A soup of randomly collected assets. The clumsy attempt at bringing three dimensionality to incredibly flat characters through unjustified changes of mind.. The tasteless production design.. the atemporality of events. Clearly Netflix tried an AI heavy pipeline in order to more make money. The result is grotesque."
Rebel Moon - Part One: A Child of Fire (2023),A Misadventure in Cinematic Excess,"In Zack Snyder's 'Rebel Moon,' the spectacle eclipses the soul. This leap into a 'Star Wars'-like universe lands in a charmless sandbox, with Snyder's overindulgence in slow-motion for even the simplest actions serving more as a narrative hindrance than an enhancement. The characters, as deep as action figures, meander through a plot stitched together from clichés of B-movie westerns and Kurosawa's classics, yet devoid of their essence. This space opera, embedded with 'Star Wars' DNA, fails to evoke the sense of awe and wonder it ambitiously aims for. Visually striking it may be, yet it's a landscape emotionally barren. Unlike 'Dunyayi Kurtaran Adam,' the Turkish cult classic that playfully dabbled with 'Star Wars' themes with a tongue-in-cheek approach, 'Rebel Moon' takes itself too seriously, morphing into an expensive parody, a shadow of the cinematic titans it attempts to replicate. In conclusion, 'Rebel Moon' is a visual feast starved of substance, proving that sometimes, less is indeed more in storytelling. Snyder's fondness for slow motion only adds to the film's overbearing atmosphere, making it a cumbersome watch."
Rebel Moon - Part One: A Child of Fire (2023),Full of potential Diaster that Sad,"Story 1/10
Script 2/10
Pacing 2/10
Characters 0/10
Cinematography 6/10
World building 5/10
Visuals 6/10
Sound design 7/10. As an admirer of Zack Snyder over the years it is sad to see such a failing in story, script, and wrong casting types. The world building is fine, we know that he has that potential. Unfortunately, it appears that rather than letting the characters and their story build the world and then it is informing back on its characters, it is that the world building was done with lack of attention. As well filmmakers have forced all the story and its beings into this shell. Seen through the portfolio of Snyder, I imagine it is the story writer and focusing on what is it that he is exploring, would give him freedom to play around with his artistic colours and camera movement."
Rebel Moon - Part One: A Child of Fire (2023),Star Wars meets Sucker Punch,"I didn't watch this for the plot, since even the slim synopsis made me understand that this was a remake of Seven Samurai set in space. I hoped that Snyder could manage to inject something new into the old plot, but it was just eye candy and slow-motion fight scenes; it's really Sucker Punch all over again, with short cool sequences held together by the thinnest of threads. The actors actually try their best to roll with the punches thrown at them by the script; sometimes they fail, sometimes they succeed, but nothing they do can actually save this wreck. A note about the bad guys: in recent movies the scripts evolved from ""evil emprire"" or ""evil Sauron"" to something more complex and layered (there are movies where we actually root for the bad guy because he has the moral high ground); this movie is a huge step back towards a ""main characters good, adversaries bad"" simplicity."
Rebel Moon - Part One: A Child of Fire (2023),Felt like it was unfinished,"It was decent to start with & had a bunch of good points throughout it. But really felt like an unfinished movie that had a lot left out because of its inclusive rating. Part way through it started to feel like it was pushed towards young teens who need fast pacing and lots going on, even if the story is left unfinished / characters aren't fleshed out. Not often do I get to a point in a movie where I just don't really care about what's happening anymore. Visuals & sound were very good though (watching with Atmos & Projector). Checked again before reviewing today & found there is going to be a full cut of the movie as well. (director / snyder cut) that is higher rated. Hopefully it has the same quality improvements overall like Justice League did (but not the annoying 4:3 aspect ratio). As that was a massive improvement on the theater release (which was as bad as this movie)."
Rebel Moon - Part One: A Child of Fire (2023),Stylish space opera is OK but lacks new ideas,"Part 1 is obviously set-up; we meet the ""Seven Samurai"" characters and get some world-building. The characters are rather simple; the good guys have honor; no one else does. There's a giant spider woman and evil creatures that look like orcs -- feels a bit like Tolkien's LOTR in Space (although there's no MacGuffin {One Ring} so far) with Warhammer-style ships and weapons. And we have an over-the-top stereotypical Nazi villain. The word derivative comes to mind. The casting seems generally fine, but the choice of Sofia Boutella (Hotel Artemis) for a super-warrior is a bit of a stretch. She's athletic but a bit unconvincing; I like her but I think she would have been better cast as a secondary warrior or perhaps a thief; she seems a bit small to go up against some of the hulking adversaries (but granted, her character's combat skills are impressively well-rounded). This Netflix movie begins and ends on an agricultural planet (The Shire?) populated by pseudo-Viking peasants. There's a town with a space-port full of dubious characters (think Star Wars ""bar"" scene). Conceptually, this is only a three (3) star film. But it gets a 1-star bonus for the impressive visuals, and another for the Zach Snyder touch. That's five (5) stars total. BTW, my favorite character is the thoughtful, melancholy robot -- the only story element that lingers, sadly."
